id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
11,past peak,medium,10,outbreak,1,,sd,6.4e+25,14,2.7,3.1,5.4,8.2,33,150,52000,2200000
12,past peak,short,10,outbreak,1,,sd,2.2e+08,3.5,1.4,1.6,2.2,2.8,4.9,8,48,160
13,early outbreak,long,100,outbreak,1,,sd,7.3,5.3,2.9,3.1,3.9,4.5,6.1,7.7,14,19
14,early outbreak,medium,100,outbreak,1,,sd,2.1,2,1.5,1.6,1.8,1.9,2.2,2.4,2.8,3.1
15,early outbreak,short,100,outbreak,1,,sd,2.2,2.1,1.5,1.6,1.8,2,2.3,2.5,3.1,3.3
16,late outbreak,long,100,outbreak,1,,sd,12,11,7,7.5,8.8,9.8,12,14,18,20
17,late outbreak,medium,100,outbreak,1,,sd,4,3.9,3.1,3.2,3.5,3.7,4.1,4.4,5,5.2
18,late outbreak,short,100,outbreak,1,,sd,1.7,1.6,1.4,1.4,1.5,1.6,1.7,1.8,2,2.1
19,near peak,long,100,outbreak,1,,sd,14,11,5.5,5.9,7.5,9,13,17,29,37
20,near peak,medium,100,outbreak,1,,sd,4.1,3.9,2.8,2.9,3.3,3.6,4.2,4.7,5.7,6.3
21,near peak,short,100,outbreak,1,,sd,1.4,1.4,1.1,1.2,1.3,1.3,1.5,1.5,1.7,1.8
22,past peak,long,100,outbreak,1,,sd,6.7,6.4,4.5,4.7,5.4,5.9,6.9,7.8,9.9,11
23,past peak,medium,100,outbreak,1,,sd,3.9,3.8,3,3.1,3.4,3.6,4.1,4.4,5.1,5.4
24,past peak,short,100,outbreak,1,,sd,1.4,1.4,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7
25,early outbreak,long,200,outbreak,1,,sd,15,11,5.6,6.1,7.9,9.5,14,18,34,46
26,early outbreak,medium,200,outbreak,1,,sd,3.6,3.4,2.4,2.6,2.9,3.2,3.7,4.2,5.2,5.7
27,early outbreak,short,200,outbreak,1,,sd,1.3,1.3,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.6
28,late outbreak,long,200,outbreak,1,,sd,8.6,8.4,6.4,6.6,7.4,7.9,9,9.8,11,12
29,late outbreak,medium,200,outbreak,1,,sd,4.5,4.4,3.7,3.8,4.1,4.3,4.6,4.8,5.3,5.5
30,late outbreak,short,200,outbreak,1,,sd,1.6,1.6,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.8
31,near peak,long,200,outbreak,1,,sd,11,9.7,6.1,6.5,7.8,8.7,11,13,18,21
32,near peak,medium,200,outbreak,1,,sd,5.6,5.4,3.9,4.2,4.7,5,5.8,6.4,7.6,8.2
33,near peak,short,200,outbreak,1,,sd,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
34,past peak,long,200,outbreak,1,,sd,6.9,6.7,5.2,5.4,6,6.3,7.1,7.7,8.9,9.5
35,past peak,medium,200,outbreak,1,,sd,4.5,4.5,3.7,3.8,4.1,4.3,4.6,4.9,5.5,5.7
36,past peak,short,200,outbreak,1,,sd,1.5,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.7
37,early outbreak,long,400,outbreak,1,,sd,13,12,6.5,7,8.7,10,13,16,25,30
38,early outbreak,medium,400,outbreak,1,,sd,3,3,2.5,2.5,2.7,2.9,3.1,3.3,3.7,3.9
39,early outbreak,short,400,outbreak,1,,sd,1.5,1.5,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7
40,late outbreak,long,400,outbreak,1,,sd,7.4,7.4,6.2,6.4,6.8,7.1,7.6,8,8.7,9
41,late outbreak,medium,400,outbreak,1,,sd,4.1,4.1,3.6,3.7,3.9,4,4.2,4.4,4.6,4.7
42,late outbreak,short,400,outbreak,1,,sd,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
43,near peak,long,400,outbreak,1,,sd,8.7,8.5,6.1,6.4,7.2,7.9,9,9.9,12,13
44,near peak,medium,400,outbreak,1,,sd,3.7,3.7,3.1,3.2,3.4,3.5,3.8,4,4.3,4.5
45,near peak,short,400,outbreak,1,,sd,1.4,1.4,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6
46,past peak,long,400,outbreak,1,,sd,7.4,7.3,5.8,6,6.6,6.9,7.6,8.1,9,9.5
47,past peak,medium,400,outbreak,1,,sd,3.6,3.6,3.2,3.3,3.4,3.5,3.7,3.8,4.1,4.2
48,past peak,short,400,outbreak,1,,sd,1.4,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6
49,decay,long,200,exponential,1,,sd,7,6.8,5.2,5.4,6,6.4,7.2,7.8,9.2,9.9
50,decay,medium,200,exponential,1,,sd,3.6,3.6,2.9,3,3.3,3.4,3.8,4,4.4,4.5
51,decay,short,200,exponential,1,,sd,1.6,1.6,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.9
52,fast decay,long,200,exponential,1,,sd,9.4,9.1,6.6,6.9,7.9,8.5,9.8,11,13,14
53,fast decay,medium,200,exponential,1,,sd,3.8,3.8,3.2,3.3,3.5,3.7,3.9,4.1,4.5,4.7
54,fast decay,short,200,exponential,1,,sd,1.5,1.5,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7
55,fast growth,long,200,exponential,1,,sd,17,12,6.3,6.9,8.8,10,15,19,34,47
56,fast growth,medium,200,exponential,1,,sd,5.2,4.9,3.4,3.6,4.1,4.5,5.4,6,7.7,8.6
57,fast growth,short,200,exponential,1,,sd,1.7,1.6,1.4,1.4,1.5,1.6,1.7,1.8,2,2
58,growth,long,200,exponential,1,,sd,10,9.1,5.6,6,7.2,8.2,10,12,17,20
59,growth,medium,200,exponential,1,,sd,3.4,3.4,2.7,2.8,3,3.2,3.6,3.8,4.3,4.5
60,growth,short,200,exponential,1,,sd,1.5,1.5,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8
61,stable,long,200,exponential,1,,sd,6.6,6.4,4.8,5,5.6,6.1,6.9,7.5,8.9,9.5
62,stable,medium,200,exponential,1,,sd,4.3,4.3,3.4,3.5,3.9,4.1,4.5,4.8,5.3,5.6
63,stable,short,200,exponential,1,,sd,1.3,1.3,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5
64,120 days,,834,ebola_case_study,,real-time,sd,3.9,3.9,3.5,3.6,3.7,3.8,4,4.1,4.3,4.4
65,120 days,,1032,ebola_case_study,,retrospective,sd,3.7,3.7,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4
66,180 days,,3149,ebola_case_study,,real-time,sd,3.7,3.7,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.9
67,180 days,,3532,ebola_case_study,,retrospective,sd,3.7,3.7,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9
68,240 days,,2399,ebola_case_study,,real-time,sd,3.5,3.5,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7
69,240 days,,2483,ebola_case_study,,retrospective,sd,3.4,3.4,3.2,3.3,3.3,3.4,3.4,3.5,3.6,3.6
70,60 days,,401,ebola_case_study,,real-time,sd,2.6,2.6,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3
71,60 days,,428,ebola_case_study,,retrospective,sd,2.8,2.8,2.5,2.6,2.7,2.7,2.9,3,3.1,3.1
